family,symbol,plus,minus,act,rate,mean,cum
MonS(候補),EURGBP,47,13,60,78.0,0.24,15.6
Mon,GBPJPY,43,17,60,72.0,0.49,33.6
FriS(候補),NZDUSD,40,19,60,67.0,0.45,29.6
Mon,EURJPY,40,20,60,67.0,0.32,21.1
WedS(候補),CADCHF,40,20,60,67.0,0.3,19.1
Mon,AUDJPY,39,21,60,65.0,0.45,30.6
Mon,USDJPY,39,21,60,65.0,0.24,15.1
TueS(候補),CADCHF,39,21,60,65.0,0.17,10.3
Hold,UK100,37,23,60,62.0,0.67,45.9
Thu(候補),XAUUSD,37,23,60,62.0,0.64,44.7
Mon,CADJPY,37,23,60,62.0,0.26,16.4
Mon,NAS100,36,23,59,61.0,0.71,49.4
Hold,GER40,36,24,60,60.0,0.91,62.6
Mon,NZDJPY,36,24,60,60.0,0.34,22.5
Mon,CHFJPY,36,24,60,60.0,0.27,17.3
Hold,XAUUSD,35,25,60,58.0,1.59,141.4
Hold,JP225,35,25,60,58.0,1.41,110.9
Hold,NAS100,35,25,60,58.0,1.12,76.9
Hold,US500,35,25,60,58.0,1.01,72.5
Mon,JP225,35,25,60,58.0,0.22,11.7
Mon,GBPUSD,35,25,60,58.0,0.2,12.8
Mon,US500,34,25,59,58.0,0.41,26.6
MonThuS,USDCHF,34,26,60,57.0,0.2,12.1
Mon,GER40,33,27,60,55.0,0.41,25.6
Hold,BTCUSD,31,29,60,52.0,2.13,70.3
Hold,WTI,31,29,60,52.0,1.01,29.4
Mon,UK100,31,29,60,52.0,-0.01,-1.2
RSI2a,GBPUSD,31,29,60,52.0,-0.11,-7.6
TSMOM,GER40,30,30,60,50.0,0.16,4.5
TSMOM,NAS100,29,31,60,48.0,0.38,16.6
TSMOM,XAUUSD,28,32,60,47.0,0.86,58.8
TSMOM,US500,28,32,60,47.0,0.19,6.8
RSI2b,GBPJPY,28,32,60,47.0,-0.18,-11.4
Mon,FR40,27,33,60,45.0,-0.08,-5.9
TSMOM,BTCUSD,25,35,60,42.0,1.59,45.5
Mon,ETHUSD,25,35,60,42.0,0.34,4.0
v4,NZDUSD,22,13,35,63.0,0.21,7.5
v4nfx,BTCUSD,20,23,43,47.0,-1.06,-45.0
TSMOM,ETHUSD,20,40,60,33.0,-1.5,-87.9
v4,GBPJPY,19,14,33,58.0,0.35,11.6
v4,AUDUSD,18,10,28,64.0,0.49,14.3
v4,GBPUSD,17,13,30,57.0,0.14,4.1
v4,USDJPY,17,16,33,52.0,0.03,0.5
v4,EURJPY,15,9,24,62.0,0.34,8.3
v4,USDCHF,15,12,27,56.0,0.11,2.9
v4,EURUSD,12,15,27,44.0,-0.05,-1.5
v4,USDCAD,5,5,10,50.0,0.08,0.8
